neighborhood,population
Allerton,44871
Alley Pond Park,
Arden Heights,18609
Arrochar,11382
Arverne,10618
Astoria,90908
Bath Beach,33637
Battery Park City,13386
Bay Ridge,53317
Bay Terrace,14855
Bay Terrace Staten Island,6873
Baychester,15277
Bayside,67642
Bayswater,12487
Bedford-Stuyvesant,167855
Belle Harbor,6664
Bellerose,26256
Belmont,34934
Bensonhurst,78580
Bergen Beach,17034
Bloomfield,817
Boerum Hill,11389
Borough Park,141177
Breezy Point,2956
Briarwood,26726
Brighton Beach,50458
Broad Channel,2443
Bronx Park,2838
Bronxdale,19033
Brooklyn Heights,22887
Brownsville,65375
Bull's Head,19144
Bushwick,112620
Cambria Heights,19863
Canarsie,83582
Carroll Gardens,15165
Castle Hill,14370
Castleton Corners,16058
Central Park,
Charleston,1575
Chelsea,59708
Chelsea Staten Island,2136
Chinatown,19770
City Island,4362
Civic Center,5345
Claremont Village,37277
Clason Point,24065
Clifton,10168
Clinton Hill,22498
Co op City,35514
Cobble Hill,8029
College Point,26065
Columbia St,3616
Concord,9603
Concourse,24708
Concourse Village,47971
Coney Island,25960
Corona,71444
Country Club,8171
Crotona Park,
Crown Heights,138759
Cunningham Park,
Cypress Hills,56920
DUMBO,2810
Ditmars Steinway,47537
Dongan Hills,6867
Douglaston,15123
Downtown Brooklyn,4776
Dyker Heights,35248
East Elmhurst,64397
East Flatbush,150569
East Harlem,118861
East Morrisania,17165
East New York,127476
East Village,74160
Eastchester,7568
Edenwald,18490
Edgemere,13330
Ellis Island,
Elmhurst,105406
Eltingville,9123
Emerson Hill,15072
Far Rockaway,40439
Ferry Point Park,151
Fieldston,6317
Financial District,26324
Flatbush,103178
Flatiron District,7610
Flatlands,57248
Floral Park,14947
Floyd Bennett Field,
Flushing,209893
Flushing Meadows Corona Park,
Fordham,94634
Forest Hills,68405
Forest Park,1357
Fort Greene,28711
Fort Hamilton,28363
Fort Wadsworth,731
Fresh Meadows,28584
Freshkills Park,105
Gerritsen Beach,7444
Glen Oaks,6655
Glendale,35893
Governors Island,
Gowanus,15813
Gramercy,19610
Graniteville,14906
Grant City,4425
Gravesend,100824
Great Kills,24465
Great Kills Park,
Green Wood Cemetery,
Greenpoint,37216
Greenwich Village,25949
Grymes Hill,4561
Harlem,181259
Hell's Kitchen,52760
Highbridge,30945
Hollis,23733
Hollis Hills,5610
Holliswood,5215
Howard Beach,26148
Howland Hook,1250
Huguenot,11437
Hunts Point,12232
Inwood,53240
Jackson Heights,105156
Jamaica,141073
Jamaica Estates,18963
Jamaica Hills,13615
John F Kennedy International Airport,
Kensington,52325
Kew Gardens,17152
Kew Gardens Hills,33232
Kingsbridge,73826
Kips Bay,36572
LaGuardia Airport,
Latourette Park,3013
Laurelton,21636
Liberty Island,
Lighthouse Hill,2556
Little Italy,2764
Little Neck,9616
Long Island City,48838
Longwood,80850
Lower East Side,59566
Manhattan Beach,4582
Marble Hill,8463
Marine Park,21007
Mariners Harbor,18926
Maspeth,48399
Melrose,20815
Middle Village,28786
Midland Beach,9353
Midtown,66887
Midwood,85118
Mill Basin,11509
Morningside Heights,37289
Morris Heights,40982
Morris Park,19738
Morrisania,21540
Mott Haven,51511
Mount Eden,23055
Mount Hope,28946
Murray Hill,24706
Navy Yard,
Neponsit,1310
New Brighton,2889
New Dorp,5786
New Dorp Beach,6201
New Springville,18602
NoHo,4129
Nolita,5223
North Riverdale,13227
Norwood,56270
Oakwood,11391
Olinville,11602
Ozone Park,50757
Park Hill,10254
Park Slope,41951
Parkchester,64832
Pelham Bay,14944
Pelham Bay Park,512
Pelham Gardens,14289
Pleasant Plains,2109
Plum Beach,
Port Ivory,
Port Morris,1966
Port Richmond,16233
Prince's Bay,9399
Prospect Heights,16420
Prospect Lefferts Gardens,41237
Prospect Park,
Queens Village,54394
Randall Manor,16106
Randall's Island,1648
Red Hook,10228
Rego Park,44730
Richmond Hill,97712
Richmondtown,6535
Ridgewood,63179
Rikers Island,11091
Riverdale,14134
Rockaway Beach,10069
Rockaway Park,13522
Roosevelt Island,11661
Rosebank,4305
Rosedale,27550
Rossville,19718
Schuylerville,10693
Sea Gate,4759
Sheepshead Bay,120626
Shore Acres,8125
Silver Lake,3151
SoHo,12542
Soundview,45131
South Beach,10373
South Ozone Park,41681
South Slope,18803
Springfield Gardens,30907
Spuyten Duyvil,8633
St Albans,41498
St George,12941
Stapleton,4236
Stuyvesant Town,21049
Sunnyside,51673
Sunset Park,109719
Theater District,6772
Throgs Neck,30885
Todt Hill,7870
Tompkinsville,9104
Tottenville,14823
Tremont,25028
Tribeca,17056
Two Bridges,13624
Unionport,23886
University Heights,28953
Upper East Side,208259
Upper West Side,211073
Van Cortlandt Park,
Vinegar Hill,5041
Wakefield,55311
Washington Heights,144150
West Brighton,13574
West Farms,16718
West Village,34431
Westchester Square,14554
Westerleigh,8394
Whitestone,38961
Williamsbridge,36314
Williamsburg,135867
Willowbrook,2323
Windsor Terrace,16245
Woodhaven,38382
Woodlawn,7317
Woodrow,20558
Woodside,45011
